"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"194",="8049","晶采","33.9","-0.25","-0.73","10","過高","27.04","32.15","22.26","1.44","2.68","10.1","12.7","8.31","12","過高","16.3","1.95","1.66","1.37","1.97","近高"
"195",="2546","根基","82.3","-0.8","-0.96","10","過高","52.84","68.19","42.76","1.59","5.98","8.84","12.7","7.15","11.4","過高","30.74","2.06","1.72","1.39","2.22","近高"
"196",="4933","友輝","75.2","-0.4","-0.53","10","過高","38.53","53.52","29.99","1.78","2.81","13.7","12.7","10.7","19.1","近低","40","1.71","0.96","0.75","1.34","過高"
"197",="6419","京晨科","108.5","+2.5","+2.36","10","過高","34.55","58.88","19.67","2.99","-0.17","-204","12.7","-116","-348","","17.99","4.15","1.92","1.09","3.27","過高"
"198",="8089","康全電訊","71.5","+3.7","+5.46","5","近高","50.73","85.1","32.76","2.6","0.23","222","12.7","143","373","破低","19.24","2.96","2.64","1.7","4.42","低"
"199",="2838","聯邦銀","15.7","+0.1","+0.64","10","過高","13.1","14.87","11.35","1.31","1.02","12.8","12.8","11.1","14.6","近低","17.12","0.89","0.77","0.66","0.87","過高"
"200",="3266","昇陽","16.6","-0.1","-0.6","10","近高","14.43","19.24","12.12","1.59","0.66","21.7","12.8","18.3","29","破低","15.23","0.99","0.95","0.8","1.26","低"
"201",="1294","漢田生技","89.4","0","0","1","近低","95.14","133","79.4","1.68","5.27","18","12.8","15.1","25.2","破低","18.52","3.14","5.14","4.29","7.18","破低"
"202",="1474","弘裕","13.3","-0.35","-2.56","10","近高","12.3","15.78","10.22","1.54","0.57","21.5","12.8","17.9","27.6","破低","15.22","0.8","0.81","0.67","1.04","近低"
"203",="3413","京鼎","324","-3","-0.92","10","過高","209.5","274.8","150.2","1.83","18.85","11.1","12.8","7.97","14.6","近高","96.54","2.26","2.17","1.56","2.85","高"
"204",="2890","永豐金","22.75","0","0","10","過高","15.66","18.1","13.29","1.36","1.25","12.6","12.9","10.7","14.5","近高","13.76","1.42","1.14","0.97","1.31","過高"
"205",="6757","台灣虎航","84.9","-0.3","-0.35","2","過高","45.31","73.55","29.27","2.51","-2.06","-22","12.9","-14.2","-35.7","","7.76","5.69","5.84","3.77","9.48","低"
"206",="1524","耿鼎","37.25","-0.2","-0.53","10","過高","18.15","24.57","13.73","1.79","1.08","16.8","12.9","12.7","22.8","近低","13.77","2.15","1.32","1","1.78","過高"
"207",="6241","易通展","15.6","-0.25","-1.58","10","低","17.03","26.32","11.86","2.22","-0.9","-18.9","12.9","-13.2","-29.3","","7.69","1.91","2.21","1.54","3.42","低"
"208",="8401","白紗科","32.75","+0.15","+0.46","10","過高","17.49","21.27","14.45","1.47","1.39","12.6","12.9","10.4","15.3","近高","15.75","2.03","1.11","0.92","1.35","過高"
"209",="2724","藝舍-KY","35","-0.8","-2.23","10","過高","12.14","16.37","7.43","2.2","-1.58","-7.68","12.9","-4.7","-10.4","","2.76","4.72","4.4","2.69","5.94","高"
"210",="8183","精星","41.5","-0.55","-1.31","10","近高","37.52","49.21","27.49","1.79","2.99","12.6","12.9","9.2","16.5","高","19.93","1.47","1.88","1.38","2.47","近低"
"211",="2834","臺企銀","15.65","+0.1","+0.64","10","過高","12.19","14.06","10.49","1.34","1","12.2","12.9","10.5","14.1","近高","13.29","1.1","0.92","0.79","1.06","過高"
"212",="3346","麗清","34.85","-0.05","-0.14","9","近低","42.78","58.05","30.64","1.89","1.53","27.9","13","20","37.9","破低","24.14","1.17","1.77","1.27","2.4","破低"
"213",="2489","瑞軒","18.8","-0.1","-0.53","10","近高","14.44","19.33","10.62","1.82","0.65","22.3","13","16.4","29.8","破低","17.04","0.95","0.85","0.62","1.13","近高"
"214",="6629","泰金-KY","118.5","0","0","6","過高","69.28","90.72","47.72","1.9","5.04","13.7","13","9.47","18","低","26.1","2.92","2.65","1.83","3.48","近高"
"215",="3230","錦明","51","0","0","10","過高","12.57","21.52","6.71","3.21","-1.16","-10.8","13","-5.77","-18.5","","9.37","3.76","1.34","0.72","2.3","過高"
"216",="5534","長虹","96.2","-0.4","-0.41","10","近高","81.39","97.04","68.65","1.41","8.57","9.5","13","8.01","11.3","過高","60.23","1.46","1.35","1.14","1.61","近高"
"217",="5522","遠雄","78","-1.2","-1.52","10","過高","53.41","64.37","44.04","1.46","5.18","10.3","13","8.5","12.4","過高","54.49","1.34","0.98","0.81","1.18","過高"
"218",="2937","集雅社","41.1","+0.3","+0.74","8","過高","32.39","37.68","28.11","1.34","2.64","12.3","13","10.7","14.3","近高","20.15","1.73","1.61","1.39","1.87","近高"
"219",="3702","大聯大","71","0","0","10","過高","53.24","65.67","44.31","1.48","4.84","11","13.1","9.16","13.6","近高","36.78","1.54","1.45","1.2","1.79","近高"
"220",="8930","青鋼","36.7","+0.3","+0.82","10","過高","20.26","28.22","16.18","1.74","1.51","13.4","13.1","10.7","18.6","低","15.77","2.04","1.28","1.03","1.79","過高"
"221",="6509","聚和","38.25","-0.4","-1.03","10","近高","34.2","46.74","26.18","1.79","1.91","17.9","13.1","13.7","24.4","破低","17.96","1.52","1.9","1.46","2.6","近低"
"222",="2916","滿心","56.1","-0.2","-0.36","10","過高","29","35.46","22.79","1.56","2.47","11.7","13.1","9.22","14.4","近高","18.09","2.42","1.6","1.26","1.96","過高"
"223",="1473","台南","37.9","+0.7","+1.88","10","過高","24.91","33.79","20.09","1.68","0.56","44.7","13.1","36","60.6","破低","24.63","1.39","1.01","0.82","1.37","過高"
"224",="3209","全科","38.7","-1.7","-4.21","10","過高","30.59","36.61","24.91","1.47","3","10.2","13.1","8.29","12.2","過高","18.36","1.82","1.67","1.36","1.99","近高"
"225",="6776","展碁國際","60.1","-0.1","-0.17","4","近高","52.15","65.65","43.17","1.52","4.13","12.6","13.1","10.4","15.9","低","24.08","2.32","2.17","1.79","2.73","近高"
"226",="6121","新普","375","-5","-1.32","10","過高","288.9","371","231.1","1.61","25","11.6","13.1","9.24","14.8","近高","142.1","1.9","2.03","1.63","2.61","近低"
"227",="8367","建新國際","50.3","+0.55","+1.11","7","近高","40.68","54.05","32.4","1.67","3.26","12.5","13.2","9.94","16.6","低","29.7","1.43","1.37","1.09","1.82","低"
"228",="3284","太普高","35.9","-0.7","-1.91","10","過高","19.1","30.67","13.35","2.3","0.12","160","13.2","112","257","破低","12.49","2.63","1.53","1.07","2.45","過高"
