"代號","名稱","成交","漲跌價","漲跌幅","統計年數","平均營收(億)","營收成長(%)","平均毛利(億)","毛利成長(%)","平均毛利(%)","平均營益(億)","營益成長(%)","平均營益(%)","平均淨利(億)","淨利成長(%)","平均淨利(%)","平均ROA(%)","平均ROA增減","平均ROE(%)","平均ROE增減","平均EPS(元)","平均EPS增減","平均財報評分"
="3015","全漢","67.7","-0.8","-1.17","25","151","-0.73","21","+1.3","13.9","3.76","-2.12","2.48","5.14","+0.87","3.57","3.71","-0.2","7.11","-0.71","2.65","-0.02","42"
="3016","嘉晶","43.35","-0.05","-0.12","26","38.4","+4.55","4.77","+1.42","12.4","2.26","-3.17","5.89","2.08","+9.47","5.41","3.56","+0.12","5.08","+0.18","0.77","+0.05","49"
="3017","奇鋐","537","-12","-2.19","25","335","+10.8","53.8","+18.1","16","25","+29.3","7.45","16.1","+31.4","5.2","4.56","+0.43","14.7","+1.35","4.56","+0.98","44"
="3018","隆銘綠能","27.05","+0.05","+0.19","26","12.9","-8.24","0.54","+1.3","4.15","-0.86","-0.1","-6.65","-0.82","+44.6","-6.72","-7.06","+2.46","-32.2","+2.5","-1.1","+1.02","28"
="3019","亞光","203","-6.5","-3.1","27","206","-1.44","31.4","+0.57","15.3","8.66","-0.87","4.21","5.28","+0.23","3.73","3.84","-0.03","5.58","-0.27","2.21","-0.13","48"
="3021","鴻名","24.95","-0.15","-0.6","26","22.2","+3.13","4.79","+3.86","21.6","1.18","+23.5","5.34","0.48","+295","2.15","3.62","+0.8","2.63","+2.76","0.57","+0.33","42"
="3022","威強電","108.5","+2","+1.88","26","62.9","+2.66","21.1","+3.61","33.5","8.4","+3.82","13.4","10.3","+2.83","16.4","9.9","-0.28","15.7","-0.53","4.27","+0.18","63"
="3023","信邦","304","-15.5","-4.85","26","169","+12.4","41.4","+13.8","24.5","17.1","+13.4","10.1","14.6","+16.4","8.62","8.76","+0.13","19.4","+0.32","6.53","+0.78","49"
="3024","憶聲","18.1","-0.25","-1.36","27","56.5","-6.65","7.87","-5.37","13.9","-0.07","-201","-0.12","0.61","-14.3","1.35","1.66","-0.15","2.67","-0.3","0.26","-0.06","43"
="3025","星通","68.6","-0.1","-0.15","26","5.69","+0.79","2.74","+4.24","48.2","0.39","+30.5","6.94","0.43","+28.6","7.52","4","+0.78","5.18","+1.1","0.64","+0.13","57"
="3026","禾伸堂","85","-2.5","-2.86","28","146","-1.09","25.8","-2.11","17.8","10.9","-5.92","7.49","9.75","-0.37","6.38","6.79","-0.26","10.1","-0.38","5.03","-0.03","51"
="3027","盛達","30.6","-0.2","-0.65","28","13.4","+4.85","3.44","+1.69","25.6","-0.05","-1529","-0.37","0.4","-17.5","3.58","1.61","-0.27","2.42","-0.37","0.46","-0.12","50"
="3028","增你強","32.7","+0.15","+0.46","27","295","+2.32","17.2","+4.58","5.83","5.99","+5.29","2.03","4.31","+1.29","1.46","3.03","-0.14","9.57","-0.25","2.09","-0.03","30"
="3029","零壹","143","-4","-2.72","27","87.9","+15.9","9.84","+22.7","11.2","4.48","+25.4","5.09","3.57","+19.2","4.24","6.04","+0.42","11.8","+0.75","2.62","+0.31","40"
="3030","德律","130","-1","-0.76","27","45.7","+5.4","25.1","+6.52","55","12.5","+7.59","27.4","10.4","+8.69","22.9","16.1","+0.15","19.7","+0.17","4.63","+0.29","73"
="3031","佰鴻","23.65","-0.15","-0.63","26","23.6","-4.42","4.55","-3.36","19.3","1.3","-9.01","5.51","1.65","-1.53","6.13","4.48","-0.25","5.64","-0.36","1","-0.05","52"
="3032","偉訓","95.8","-1.9","-1.94","26","54.5","+6.57","10.6","+8.84","19.5","3.52","+15.9","6.47","2.75","+13.1","5.98","5.78","+0.22","11.4","+0.45","2.57","+0.24","46"
="3033","威健","35.05","-0.2","-0.57","27","497","+6.85","32.4","+6.57","6.51","12.6","+8.06","2.53","7.63","+2.22","1.53","3.84","-0.23","13.3","-0.59","2.32","-0.06","30"
="3034","聯詠","545","-5","-0.91","27","678","+6.94","255","+8.53","37.7","146","+7.09","21.6","121","+8.61","17.8","19.1","-0.08","29.8","-0.24","20.1","+1.49","67"
="3035","智原","238.5","+1.5","+0.63","27","71.8","+4.76","34","+4.62","47.3","9.73","-0.07","13.6","9.04","-0.03","12.7","10.2","-0.68","13.5","-0.87","3.18","-0.02","65"
="3036","文曄","110","-4","-3.51","26","3,265","+17.7","117","+12.3","3.59","59.7","+9.09","1.83","37.5","+4.1","1.14","3.69","-0.32","12.1","-0.93","5.58","-0.13","26"
="3037","欣興","118","-7.5","-5.98","28","799","+5.9","140","+3.04","17.5","67.7","-1.21","8.47","60.2","+0.17","7.79","4.7","-0.25","10.5","-0.48","4.2","-0.04","51"
="3038","全台","29","+0.15","+0.52","27","37.5","+1.66","6.08","+5.36","16.2","1.51","+16.6","4.03","1.3","+19.2","3.45","3.6","+0.45","6.06","+0.84","0.86","+0.12","43"
="3040","遠見","53.2","+0.2","+0.38","27","6.43","-12.8","2.16","-9.72","33.6","0.12","-6.4","1.92","1.43","-8.09","22.3","7.39","-0.5","8.85","-1.12","1.99","-0.19","65"
="3041","揚智","33.7","-0.7","-2.03","28","34.1","-6.4","13.1","-7.95","38.3","-0.34","-160","-1","0.24","-83.5","0.79","-2.79","-4.13","-3.67","-5.23","-0.14","-0.59","56"
="3042","晶技","103","+0.5","+0.49","26","101","+2.25","29.7","+5.15","29.3","14.6","+4.79","14.4","13","+4.86","12.9","9.25","-0.07","14.7","-0.13","4.34","+0.16","57"
="3043","科風","35.4","-0.05","-0.14","26","19.4","-7.26","3","-8.75","15.5","-1.2","-4.25","-6.18","-1.24","-2.15","-6.93","-3.99","0","-40.1","+2.11","-0.49","-0.08","30"
="3044","健鼎","208.5","+0.5","+0.24","26","494","+5.07","94.7","+7.76","19.2","53.3","+9.89","10.8","47.5","+8.84","9.6","7.94","+0.11","16.3","-0.13","9.28","+0.66","51"
="3045","台灣大","114.5","+1","+0.88","27","1,147","+6.68","346","+0.2","30.2","185","-0.36","16.1","136","-0.22","12.5","10.5","-0.42","22.1","-0.59","4.51","+0.01","59"
="3046","建碁","55","+1.1","+2.04","26","53","-9.55","6.77","-12","12.8","-1.6","-33.8","-3.01","-1.11","-61","-2.07","-3.28","-0.7","-8.4","-1.88","-0.56","-0.16","41"
="3047","訊舟","29.15","+0.65","+2.28","27","53.8","-1.05","13.4","-0.7","24.9","0.86","-27.2","1.6","0.57","-15","1.12","1.33","-0.57","2.85","-1.23","0.36","-0.07","40"
="3048","益登","29.9","-0.4","-1.32","25","824","+6.11","26.3","+5.37","3.19","10.5","+8.11","1.27","4.14","-10.9","0.5","2.49","-0.42","12.2","-1.78","1.97","-0.33","29"
="3049","精金","8.9","-0.07","-0.78","25","38.8","-8.68","4.85","-21.4","12.5","1.16","-48.7","3","-2.67","-39.9","-7.06","-1.53","-0.51","-3.3","-0.7","-0.3","-0.11","45"
="3050","鈺德","17.15","-0.2","-1.15","25","13.1","-5.64","3.89","-3.61","29.7","0.54","-0.69","4.14","0.09","+12.8","1.13","0.58","+0.12","1.24","+0.23","0.18","-0.01","52"
="3051","力特","30.15","-0.05","-0.17","24","48.2","-14.3","5.4","-19.8","11.2","0.42","-65.2","0.88","-4","-4.47","-8.3","-0.86","+0.26","-6.4","+1.05","-0.6","-0.06","34"
="3052","夆典","11.8","-0.1","-0.84","30","35.5","-0.07","3.74","-0.68","10.6","1.82","+0.51","5.14","1.55","+0.99","4.38","1.98","+0.03","6.03","-0.05","0.83","0","32"
="3054","立萬利","22.4","-0.15","-0.67","25","6.66","-11.3","0.44","-9.4","6.62","-0.36","-3.71","-5.45","0.08","+16.3","1.25","-0.22","+0.46","0.12","+0.57","0.04","+0.04","48"
="3055","蔚華科","78.9","-1.2","-1.5","24","33.8","-5.97","6.62","-6.87","19.6","0.57","-36.6","1.7","1.57","-9.25","4.66","3.19","-0.43","4.75","-0.68","1.02","-0.19","49"
="3056","富華新","35.6","-0.45","-1.25","23","36.6","-12.6","11.5","-11.5","31.4","8.86","-15","24.2","7.43","-13.3","20.3","5.88","-0.89","16.2","-2.84","3.5","-0.63","53"
="3057","喬鼎","11.75","0","0","25","21","-5.2","8.91","-6.81","42.5","0.03","-90.9","0.13","-0.36","-292","-1.69","-1.87","-1.7","-4.1","-2.65","-0.18","-0.25","47"
="3058","立德","16","+0.65","+4.23","25","53.1","-3.32","7.15","-3.43","13.5","-0.13","-2797","-0.25","0.02","-66.3","0.03","0.05","-0.11","-0.49","-0.18","0.09","-0.05","36"
="3059","華晶科","48.3","+0.3","+0.62","23","154","-4.45","20.5","-0.52","13.4","4.56","-13.2","2.97","4.67","-12.5","3.15","2.92","-0.52","5.51","-1.07","1.57","-0.26","47"
="3060","銘異","24.5","-0.5","-2","23","67.8","-5.71","8.85","-7.62","13.1","2.3","-19.2","3.39","2.37","-17.6","3.43","3.1","-1.04","5.72","-1.91","1.51","-0.38","42"
="3062","建漢","31.4","-0.8","-2.48","24","89","-6.05","7.17","-11.3","8.06","1.38","-36","1.55","1.69","-24.8","1.9","1.86","-0.78","3.07","-1.26","0.58","-0.24","42"
="3090","日電貿","71","-0.2","-0.28","23","86","+5.62","14.8","+4.07","17.3","7.62","+4.85","8.86","6.97","+3.27","8.4","10","-0.26","17.8","-0.82","4.12","-0.03","47"
="3092","鴻碩","28","-0.3","-1.06","24","25.1","-2.53","4.57","-6.08","18.2","0.82","-37.8","3.28","0.6","-39.6","2.41","2.61","-1.02","5.11","-2.37","1.1","-0.46","38"
="3094","聯傑","30.2","-0.2","-0.66","24","3.01","-5.83","2.02","-5.06","67","0.44","-16.4","14.7","0.6","-5.36","19.9","4.7","-0.43","5.11","-0.46","0.74","-0.04","71"
="3130","一零四","227.5","-0.5","-0.22","24","18.7","+4.11","14.5","+6.64","77.5","3.63","+5.85","19.4","3.25","+5.19","17.3","13.8","-0.43","23.4","+0.01","9.88","+0.4","69"
="3138","耀登","110","-1","-0.9","23","9.97","+10.9","3.92","+13.8","39.3","0.69","+36.5","6.93","0.99","+17.7","10.1","5.25","+0.34","8.94","+0.7","2.21","+0.31","54"
="3149","正達","35.45","-0.75","-2.07","22","42.3","-4.77","-0.39","-195","-0.91","-5.74","-12.9","-13.6","-6.37","-27.2","-15.2","-5.54","-1.16","-18.4","-3.55","-2.44","-0.56","32"
="3150","鈺寶-創","34.2","+0.2","+0.59","14","2.95","-5.48","1.24","-3.37","42.1","0.03","-60.5","0.97","0.02","-73.3","0.61","1.58","-0.57","2.3","-0.74","0.14","-0.17","56"
="3164","景岳","20.3","-0.1","-0.49","22","3.88","-0.48","2.5","-0.46","64.4","0.44","-6.4","11.4","0.09","+43","1.7","0.81","+0.05","0.88","+0.03","0.1","+0.03","65"
="3167","大量","98.5","-2","-1.99","23","25.3","-4.56","7.11","-5.22","28.1","2.52","-11.5","9.95","2.52","-7.46","10","6.59","-0.84","15.6","-2.06","3.43","-0.34","47"
="3168","眾福科","48.6","+0.8","+1.67","23","27.3","+5.53","4.88","+11.8","17.9","1.87","+15.6","6.85","1.28","+16.8","4.86","4.66","+0.42","8.52","+0.37","1.94","+0.23","41"
="3189","景碩","101","-3","-2.88","23","260","+3.65","69.5","+4.3","26.7","26.4","-5.72","10.2","19.6","-8.52","8.66","5.18","-0.71","7.75","-0.85","4.46","-0.45","57"
="3209","全科","38.7","-1.7","-4.21","23","380","+10.1","16.7","+7.84","4.4","6.79","+16.7","1.79","4.78","+5.75","1.24","4","-0.21","15.1","-0.48","2.75","-0.02","29"
="3229","晟鈦","17.9","-0.25","-1.38","22","6.6","+0.47","0.8","-11.7","12.1","-0.5","-30.9","-7.56","-0.55","-22.3","-9.77","-7.96","-1.32","-12.4","-2.14","-0.59","-0.08","39"
="3231","緯創","112","-3","-2.61","23","7,552","+3.57","420","+9.8","5.56","130","+16.5","1.72","72.3","+8.14","1.3","3.02","+0.09","12.4","+0.27","2.93","+0.12","36"
="3257","虹冠電","58","-1.7","-2.85","23","8.42","+5.81","4.04","+5.28","47.9","1.73","+11.4","20.6","1.71","+9.65","20.2","10.4","+0.87","11.7","+0.92","2.58","+0.09","73"
="3266","昇陽","16.6","-0.1","-0.6","22","27.1","+10.3","6.18","+18.6","22.8","2.7","+41.3","9.97","3.14","+27.4","10","2.06","+0.38","4.71","+1.09","0.96","+0.23","38"
="3296","勝德","27.45","-0.55","-1.96","22","29.6","-5.28","4.66","-5.26","15.8","0.32","-43.5","1.08","0.46","-31.8","1.55","1.4","-0.9","1.77","-1.59","0.47","-0.27","40"
="3305","昇貿","68.8","-0.4","-0.58","22","61.8","+0.97","8.31","+1.41","13.4","3.98","-0.1","6.45","2.97","-2.03","4.82","4.77","-0.34","8.53","-0.72","2.58","-0.13","42"
="3308","聯德","22.55","-0.25","-1.1","22","17","-12.1","1.7","-8.72","10","-0.2","-39.7","-1.19","0.01","+103","0","-0.15","+1.19","0.1","+2.41","0.21","+0.29","38"
="3311","閎暉","37.85","-0.15","-0.39","23","52.1","-7.6","10.3","-10.6","19.7","3.45","-19.3","6.62","2.64","-18.1","4.97","2.59","-0.76","5.78","-1.6","1.67","-0.37","49"
="3312","弘憶股","52.8","-1.4","-2.58","22","142","+0.98","7.12","+3.96","5.01","2.58","+12.9","1.82","1.75","+16.7","1.16","2.85","+0.26","9.26","+0.54","1.3","+0.11","36"
="3321","同泰","12.7","-1.4","-9.93","12","20.9","-5.08","1.03","-23.5","4.93","-2.11","-9.92","-10.1","-2.21","-5.11","-10.6","-9.36","-1.1","-28.9","-3.39","-2.14","-0.07","29"
="3338","泰碩","60.8","-0.2","-0.33","22","36.1","+2.59","7.38","+2.65","20.4","2.14","+6.3","5.93","1.65","+10.2","4.57","5.13","+0.31","11.8","+0.48","2.05","+0.15","41"
="3346","麗清","34.85","-0.05","-0.14","22","47","+18.6","7.38","+14.8","15.7","1.45","+36.8","3.1","1.18","+41","2.51","2.52","-0.15","7.07","+0.07","1.46","+0.18","30"
="3356","奇偶","59.3","+1.1","+1.89","22","15.2","-2.11","7.29","-2.99","48","2.15","-8.76","14.2","2.19","-0.25","14.3","11.1","-0.68","13.6","-0.81","3.37","-0.22","66"
="3376","新日興","277","-9.5","-3.32","21","98.3","+2.07","23.6","-1.31","24","15.1","-3.1","15.4","11.6","-2.09","11.8","7.29","-0.63","10.5","-1.02","6.66","-0.29","56"
="3380","明泰","35.3","-0.6","-1.67","22","242","-0.4","39.7","+0.64","16.4","7.01","-9.95","2.89","5.17","-7.58","2.39","2.96","-0.34","5.47","-0.64","1.07","-0.11","40"
="3406","玉晶光","477","-10","-2.05","21","120","+13.1","40.5","+14.9","33.8","19.1","+18.7","16","13.9","+20","11.5","5.54","+0.04","9.67","+0.21","12.8","+1.85","53"
="3413","京鼎","324","-3","-0.92","21","91.6","+12.2","22.5","+14.8","24.5","13.3","+16.8","14.6","10.7","+21.3","11.7","8.07","+0.37","8.15","-1.02","11.78","+1.63","52"
="3416","融程電","175.5","+2.5","+1.45","21","21.3","+9.37","7.89","+11.6","37","3.82","+12.6","18","3.14","+12.6","14.7","11.1","+0.24","14.5","+0.37","4.65","+0.29","64"
="3419","譁裕","17.9","-0.3","-1.65","21","20.8","-5.46","3.76","-6.5","18.1","-0.4","-126","-1.95","-0.14","-3100","-0.77","-0.66","-0.63","-1.05","-1.09","-0.09","-0.14","38"
="3432","台端","16.55","-0.25","-1.49","21","5.82","-14.7","1.35","-15.7","23.1","-0.15","-76.8","-2.65","-0.93","-193","-16","-10.3","-5.9","-11.2","-6.85","-1.33","-0.97","53"
="3437","榮創","21.55","-0.1","-0.46","19","45.4","-6.39","5.92","-6.33","13","0.43","-53.3","0.96","0.07","-88.8","0.03","-0.33","-1.78","-0.53","-3.89","0.12","-0.31","42"
="3443","創意","1340","-55","-3.94","21","143","+10.8","43","+12.9","30.1","16.3","+19.3","11.4","14.7","+19.3","10.3","12.4","+0.25","25.2","+1.08","10.98","+1.76","55"
="3447","展達","68.8","-0.4","-0.58","21","32.8","-2.79","3.71","-2.91","11.3","0.61","-12.1","1.87","0.82","+1.18","2.51","3.6","-0.19","8.11","-0.39","1.22","-0.07","37"
="3450","聯鈞","272.5","-12.5","-4.39","20","64.3","-2.17","14.7","-7.84","22.9","8.98","-13.7","14","3.99","-16.6","10.6","9.38","-1.95","14.4","-3.02","3.57","-0.76","58"
="3454","晶睿","136","+1.5","+1.12","21","61","+5.42","19.5","+4.44","32.1","4.05","-2.86","6.65","3.92","-1.67","6.22","9.06","-0.72","14.1","-0.84","4.94","-0.18","54"
="3481","群創","14.9","-0.15","-1","20","3,138","-3.03","284","-3.98","9.05","55","-21.9","1.75","18.7","-37.7","0.6","0.71","-0.4","0.67","-0.47","0.07","-0.11","43"
="3494","誠研","18.95","0","0","20","12.6","-7.27","2.45","-15.3","19.5","-2","-13.9","-15.9","-1.69","-16.9","-19.6","-7.84","-1.75","-16.5","-4.14","-0.99","-0.19","31"
="3501","維熹","62.4","-0.5","-0.79","20","52.2","+1.01","12.9","+0.63","24.6","6.21","+0.31","11.9","5.41","+0.07","10.3","7.59","-0.31","10.2","-0.54","4.73","-0.07","56"
="3504","揚明光","67.7","-1.8","-2.59","21","47.7","-5.55","9.7","-7.47","20.3","0.52","-47","1.09","0.45","-47.4","0.94","1.09","-0.98","1.88","-1.85","0.45","-0.39","47"
="3515","華擎","249.5","-5","-1.96","20","130","+6.25","28","+5.56","21.6","11.8","-0.73","9.07","9.72","-0.93","7.78","9.51","-0.55","14.9","-1.1","8.39","-0.28","53"
="3518","柏騰","22.95","-0.2","-0.86","19","9.48","-8.42","2.83","-12.6","29.9","-0.36","-137","-3.81","-0.57","-48.8","-6.11","-2.5","-0.81","-3.32","-1.05","-0.59","-0.31","47"
="3528","安馳","53.7","-0.1","-0.19","18","44.5","+8.66","5.81","+5.26","13.1","2.76","+7.82","6.2","2.01","-3.92","4.51","6.41","-0.71","14","-0.89","3.29","-0.22","37"
="3530","晶相光","84.4","-2.2","-2.54","18","21.8","+0.15","5.01","-13.6","22.9","1.75","-33.8","8.02","1.37","-26.5","6.27","6.62","-2.52","8.58","-3.38","1.81","-0.65","55"
="3532","台勝科","95.9","-0.4","-0.42","18","128","+4.2","33.7","+14.6","26.4","27.2","+15.2","21.3","17.7","+11.5","13.8","8.59","+0.55","10.5","+1.13","3.55","+0.47","68"
="3533","嘉澤","1655","-60","-3.5","19","149","+11.6","58.8","+16.9","39.5","30.9","+22.1","20.7","25.2","+21.5","17.3","14","+0.47","19.8","+0.46","24.36","+3.83","62"
="3535","晶彩科","46.35","-0.65","-1.38","18","11.7","-7.37","3.43","-2.99","29.2","0.54","-6.65","4.63","0.28","-25.3","2.34","1.64","-0.06","3.96","-0.24","0.38","-0.16","43"
="3543","州巧","22.85","-0.05","-0.22","20","38.7","-2.04","5.42","-3.63","14","0.7","-29.4","1.82","0.3","-43.4","0.58","0.32","-0.61","0.88","-1.15","0.44","-0.33","44"
="3545","敦泰","80.4","-0.4","-0.5","19","127","+3.71","31.1","+3.08","24.5","5.28","-10.6","4.16","3.44","+3.74","2.6","2.09","-0.1","4.12","-0.15","2.06","-0.02","48"
="3550","聯穎","16.6","-0.2","-1.19","19","40.5","-1.59","6.7","-5.36","16.6","0.88","-39.3","2.17","0.34","-59.5","0.91","1.09","-1.23","1.44","-2.93","0.47","-0.62","41"
="3557","嘉威","67.8","+0.2","+0.3","19","22.3","+11.4","6.66","+18.9","29.8","1.54","+20.1","6.87","0.98","+25.8","4.3","-1.68","+0.16","2.26","+0.28","1.67","+0.17","41"
="3563","牧德","435","+5","+1.16","19","17","+0.9","10.5","+0.27","61.8","5.77","-4.96","34","4.95","-2.56","29.1","17.6","-1.63","24.2","-2.4","11.06","-0.57","76"
="3576","聯合再生","10.25","0","0","17","154","-1.49","-4.09","-26.2","-2.65","-28.6","-3.43","-18.5","-30.1","-11.3","-19.8","-7.71","-0.95","-16.8","-1.69","-1.74","+0.08","31"
="3583","辛耘","341.5","-14.5","-4.07","18","40","+12","13.9","+10.4","34.7","4.26","+13.1","10.7","3.41","+16.2","8.46","6.2","-0.09","12.6","+0.92","4.26","+0.59","52"
="3588","通嘉","65.4","-1.1","-1.65","17","13.4","-2.11","5.04","-1.96","37.6","1.09","-17.7","8.1","1.1","-12","8.22","5.97","-1.02","7.33","-1.25","2.29","-0.38","56"
="3591","艾笛森","24.3","-0.1","-0.41","19","24.1","+1.44","4.62","+4.51","19.2","0.45","+11.8","1.86","0.06","+344","0.16","0.39","+0.1","0.53","+0.11","0.13","-0.01","50"
="3592","瑞鼎","392","-7.5","-1.88","18","171","+9.85","54.1","+8.71","31.6","18.5","+3.51","10.8","15.4","+4.71","9.01","12","-0.39","22.3","-1.01","22.1","+0.49","53"
="3593","力銘","7.78","+0.18","+2.37","18","12.4","-11.1","1.32","-18.6","10.6","-0.52","-25.1","-4.16","-0.77","-9.15","-6.6","-5.76","-0.03","-11.4","-0.37","-0.78","-0.07","29"
="3596","智易","189","+3.5","+1.89","19","334","+9.27","47.4","+10.8","14.2","18.3","+12.7","5.48","14.8","+12.8","4.4","5.98","-0.01","13.3","+0.3","7.36","+0.61","42"
="3605","宏致","63.1","+0.1","+0.16","18","69.4","+4.83","16.2","+1.66","23.4","2.24","-28.8","3.23","2.51","-23.7","3.57","3.53","-1.18","6.51","-2.18","2.16","-0.7","47"
="3607","谷崧","17.35","+0.05","+0.29","18","55.1","-7.4","5.23","-12.6","9.5","-0.74","-179","-1.34","-0.87","-38.5","-1.7","-2.84","-0.27","-4.69","-0.45","-0.61","-0.25","39"
="3617","碩天","311","-4","-1.27","18","80.5","+8.11","34.1","+11.1","42.3","7.86","+21.6","9.76","6.29","+21.4","7.86","8.17","+0.26","14.6","+0.72","7.66","+1.13","52"
="3622","洋華","62.2","-0.7","-1.11","19","34.2","-10.3","5.7","-5.2","16.7","1.35","+2.18","3.95","0.53","+1934","1.95","1.48","+0.53","1.82","+0.25","0.56","+0.18","57"
="3645","達邁","76.2","-2.4","-3.05","16","18.4","-0.32","5.31","-6.98","28.9","2.27","-20.6","12.3","1.85","-18.4","9.45","4.29","-1.4","7.25","-2.26","1.5","-0.34","51"
="3652","精聯","38.9","-0.65","-1.64","16","21.7","+1.28","7.04","+0.99","32.4","0.47","-5.13","2.16","0.43","+0.37","1.98","2.13","-0.09","3.02","-0.17","0.75","-0.05","49"
="3653","健策","1340","-5","-0.37","18","77.7","+16.1","25.3","+22.1","32.6","16","+28.1","20.6","13.7","+31.2","17.7","11.4","+1.23","15.7","+1.37","10.56","+2.12","62"
="3661","世芯-KY","3285","-75","-2.23","16","98.2","+56.5","26.7","+37.2","27.2","12.4","+55.1","12.6","10.4","+60.7","10.6","8.87","+0.76","13.8","+1.24","15.05","+5.24","60"
="3665","貿聯-KY","595","-33","-5.25","15","291","+21.9","72","+21.7","24.8","27.6","+16.1","9.51","19.1","+8.14","6.55","8.39","-0.82","15.7","-1.12","14.23","+0.4","48"
="3669","圓展","42.7","-0.6","-1.39","16","25.3","0","13.2","+0.83","52.3","2.64","-8.56","10.4","2.53","-1.68","10","6.62","-0.43","9.17","-0.67","2.78","-0.11","64"
="3673","TPK-KY","39.35","-0.55","-1.38","17","1,103","-2.96","63.4","-7.86","5.75","9.91","-21.8","0.9","5.71","-22.1","0.58","1.36","-0.78","3.17","-1.87","2.36","-0.79","43"
="3679","新至陞","164","+5.5","+3.47","18","43.5","+0.44","10.6","+3.37","24.3","6.04","+4.1","13.9","5.25","+8.15","12.1","6.91","-0.02","12.5","-0.57","7.84","+0.5","54"
="3686","達能","18.65","-0.4","-2.1","15","7.31","-19.5","-2.84","+21.4","-38.9","-3.45","+19.4","-47.2","-6.53","-18.8","-89.3","-23.3","-6.4","-26.7","-6.86","-2.11","-0.25","41"
="3694","海華","69.8","+2.3","+3.41","16","82.7","+3.92","9.98","+4.89","12.1","1.02","+45.9","1.23","0.97","+57.6","1.18","1.51","+0.55","4.28","+1","0.65","+0.18","33"
="3701","大眾控","38.4","-0.8","-2.04","20","156","-11.5","14.2","+1.17","9.13","-3.48","+29.7","-2.23","-2.07","+26.3","-1.47","-0.16","+0.7","-4.21","+2.01","-0.64","+0.31","32"
="3702","大聯大","71","0","0","19","5,531","+5.36","228","+3.52","4.12","97.2","+3.42","1.76","72","+4.2","1.31","3.79","-0.16","13.3","-0.34","4.3","+0.1","30"
="3703","欣陸","31.85","+0.15","+0.47","14","260","+3.04","33.2","+4.98","12.8","17.6","+4.83","6.76","13.2","+6.79","4.92","1.91","-0.06","4.93","-0.21","1.6","+0.1","30"
="3704","合勤控","40.4","-0.45","-1.1","14","237","+6.49","54.4","+5.14","22.9","6.83","+16.8","2.88","5.16","+30.5","2.18","2.29","+0.41","5.4","+1.12","1.23","+0.32","40"
="3705","永信","51.9","-2.6","-4.77","15","68.5","+2.36","30.6","+1.45","44.6","7.78","+4.5","11.4","7.19","+3.7","10.5","6.87","+0.04","11.3","+0.03","2.72","+0.09","56"
="3706","神達","70.3","-0.4","-0.57","12","403","+0.02","45.9","+0.73","11.4","-0.08","-220","-0.02","48.8","-6","12.1","7.64","-0.85","10.7","-1.17","4.35","-0.34","47"
="3708","上緯投控","86.5","-1","-1.14","9","78","+4.35","12.7","+7.26","16.3","3.05","+0.44","3.9","7.32","+31","9.89","6.77","+0.9","12.2","+1.39","7.76","+1.72","48"
="3711","日月光投控","171","-4.5","-2.56","8","5,459","+5.73","950","+3.82","17.4","460","-0.29","8.43","387","-0.88","7.44","6.43","-0.38","14.7","-0.93","9.04","-0.11","48"
="3712","永崴投控","66","-0.6","-0.9","7","114","+32.1","15.4","+28.5","13.5","3.98","+137","3.49","3.23","+46.1","4.23","1.55","+0.01","3.6","+0.46","1.29","+0.32","42"
="3714","富采","45.05","-0.7","-1.53","5","252","+0.28","32.4","+4.3","12.8","-18.5","+5.93","-7.32","-27.4","+21.6","-12.7","-5","+1.37","-6.59","+1.96","-4.02","+1.48","40"
="3715","定穎投控","60.6","-1.5","-2.42","3","156","+0.36","32.1","+22.5","20.6","12.1","+62.8","7.74","7.63","+49.9","4.99","3.85","+1.05","12.5","+3.47","2.75","+0.91","40"
="4104","佳醫","87.1","+0.4","+0.46","26","65.5","+3.82","13.1","+4.45","20","4.84","+7.29","7.39","4.8","+7.59","8.75","4.57","+0.03","7.52","+0.06","3.89","+0.08","45"
="4106","雃博","25.05","-0.15","-0.6","26","21.2","+4.08","8.81","+4.8","41.6","1.64","+1.94","7.76","1.38","+1.35","6.6","5.7","-0.23","8.12","-0.34","1.64","-0.03","57"
="4108","懷特","16.75","-0.1","-0.59","26","1.18","+4.1","0.44","+7.79","37.2","-1.93","+1.46","-164","-1.37","+3.69","-137","-7.23","+0.4","-7.57","+0.43","-0.93","+0.08","46"
="4119","旭富","86.7","+0.1","+0.12","22","15.1","-3.09","5.46","-6.19","36.2","3.54","-9.56","23.5","2.84","+1.63","18.8","7.89","-0.66","9.95","-0.79","3.66","-0.14","64"
="4133","亞諾法","30.25","0","0","18","4.2","-2.86","1.95","-3.54","46.5","0.45","-6.36","10.7","0.54","+0.71","12.9","3.61","+0.06","3.83","+0.06","0.91","0","63"
="4137","麗豐-KY","124","+3.5","+2.9","12","42.6","+3.7","35.2","+4.01","82.6","12.9","+1.19","30.3","10","+2.79","23.5","13.8","-0.8","24","-1.04","12.66","+0.3","76"
="4142","國光生","23.75","+0.2","+0.85","15","15.4","+9.43","3.72","+22.3","24.1","-3.25","-19.2","-21.1","-1.1","-140","-11.2","-2.31","-0.44","-5.52","+0.24","-0.68","-0.04","49"
="4148","全宇生技-KY","46.45","-0.35","-0.75","13","24.6","+3.71","6.62","-1.49","26.9","2.99","-5.8","12.2","2.06","-5.52","10.2","8.59","-0.79","11.1","-1.19","3.3","-0.23","58"
