"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"884",="9937","全國","63.3","+1","+1.61","10","過高","51.94","58.41","46.79","1.25","2.39","21.7","26.2","19.6","24.4","過高","16.63","3.56","3.12","2.81","3.51","過高"
"885",="1785","光洋科","58.1","-0.5","-0.85","10","過高","38.96","52.02","27.39","1.9","1.59","24.5","26.2","17.2","32.7","近高","18.05","2.54","2.16","1.52","2.88","近高"
"886",="6221","晉泰","76","+0.1","+0.13","10","過高","58.36","72.14","45.92","1.57","3.24","18","26.2","14.2","22.2","過高","21.02","2.68","2.78","2.18","3.43","低"
"887",="1452","宏益","15","+0.05","+0.33","10","破低","19.13","22.63","15.95","1.42","1.16","16.5","26.3","13.7","19.5","過高","20.03","0.72","0.95","0.8","1.13","破低"
"888",="8084","巨虹","56.6","-1","-1.74","10","低","67.01","96.79","45.41","2.13","-0.45","-150","26.3","-102","-217","","7.68","7.28","8.73","5.92","12.6","低"
"889",="4702","中美實","12.4","0","0","10","近高","10.02","14.09","7.77","1.81","-0.81","-12.4","26.4","-9.61","-17.4","","11.17","0.73","0.9","0.7","1.26","近低"
"890",="4931","新盛力","71","-3.3","-4.44","6","過高","34.15","55.89","23.34","2.39","1.61","21.2","26.4","14.5","34.8","高","15.49","4.14","2.2","1.51","3.61","過高"
"891",="2351","順德","94.3","-1.2","-1.26","10","低","96.52","139.4","70.49","1.98","3.91","24.7","26.4","18","35.7","低","32.94","2.49","2.93","2.14","4.23","近低"
"892",="8926","台汽電","41.75","+0.3","+0.72","10","近高","36.91","43.62","30.64","1.42","1.67","22.1","26.4","18.3","26.1","過高","20.29","2.03","1.82","1.51","2.15","近高"
"893",="1434","福懋","19.3","+0.15","+0.78","10","破低","28.76","32.47","25.81","1.26","1.71","16.8","26.4","15.1","19","過高","36.05","0.74","0.8","0.72","0.9","近低"
"894",="6715","嘉基","147","-1.5","-1.01","6","近高","140.5","179.4","109.1","1.64","5.06","27.8","26.5","21.6","35.5","低","37.26","2.74","3.77","2.93","4.81","破低"
"895",="1453","大將","17.25","-0.35","-1.99","10","近高","13.04","20.51","9.73","2.11","0.51","25.6","26.5","19.1","40.2","低","13","1.31","1","0.75","1.58","近高"
"896",="6747","亨泰光","146","-1","-0.68","4","破低","199.1","268.5","150.4","1.78","7.92","25.1","26.5","19","33.9","高","47.78","2.9","4.17","3.15","5.62","破低"
"897",="6741","91APP*-KY","101.5","-1.5","-1.46","4","近低","124.6","190","86.55","2.2","2.74","45.5","26.6","31.6","69.4","破低","21.51","3.89","5.79","4.02","8.83","破低"
"898",="2947","振宇五金","87.2","+0.2","+0.23","4","近低","93.94","110.7","81.47","1.36","4.28","21.9","26.6","19","25.9","過高","37.26","2.24","2.52","2.19","2.97","近低"
"899",="4571","鈞興-KY","213","-15","-6.58","6","過高","98.63","160.4","69.6","2.31","6.24","15.8","26.6","11.2","25.7","過高","46.03","3.9","2.14","1.51","3.49","過高"
"900",="4106","雃博","25.05","-0.15","-0.6","10","近低","28.96","39.55","23.8","1.66","1.31","22.1","26.6","18.2","30.2","近高","21.02","1.05","1.38","1.13","1.88","破低"
